SEOFE0AB,"Armed Forces occupations, Female"
SEOFE15A,"Managers, Female"
SEOFE15B,"Legislators, senior officials and managers, Female"
SEOFE2AB,"Professionals, Female"
SEOFE3AB,"Technicians and associate professionals, Female"
SEOFE4AB,"Clerical support workers, Female"
SEOFE5AB,"Service and sales workers, Female"
SEOFE6AB,"Skilled agricultural, forestry and fishery workers, Female"
SEOFE7AB,"Craft and related trades workers, Female"
SEOFE8AB,"Plant and machine operators, and assemblers, Female"
SEOFE9AB,"Elementary occupations, Female"
