year,state,wvalue,lvalue
1995,AUS,1867,female
1996,AUS,1923,female
1997,AUS,1996,female
1998,AUS,2043,female
1999,AUS,2081,female
2000,AUS,2187,female
2001,AUS,2286,female
2002,AUS,2347,female
2003,AUS,2450,female
2004,AUS,2552,female
2005,AUS,2680,female
2006,AUS,2790,female
2007,AUS,2931,female
2008,AUS,3047,female
2009,AUS,3181,female
2010,AUS,3341,female
2011,AUS,3473,female
1995,AUS,2846,male
1996,AUS,2924,male
1997,AUS,3013,male
1998,AUS,3116,male
1999,AUS,3172,male
2000,AUS,3299,male
2001,AUS,3439,male
2002,AUS,3598,male
2003,AUS,3790,male
2004,AUS,3893,male
2005,AUS,4102,male
2006,AUS,4289,male
2007,AUS,4502,male
2008,AUS,4689,male
2009,AUS,4903,male
2010,AUS,5152,male
2011,AUS,5373,male
1995,CAN,1867,female
1996,CAN,1923,female
1997,CAN,2015,female
1998,CAN,2048,female
1999,CAN,2109,female
2000,CAN,2172,female
2001,CAN,2250,female
2002,CAN,2318,female
2003,CAN,2379,female
2004,CAN,2460,female
2005,CAN,2556,female
2006,CAN,2649,female
2007,CAN,2743,female
2008,CAN,2857,female
2009,CAN,2972,female
2010,CAN,3036,female
2011,CAN,3131,female
1995,CAN,2846,male
1996,CAN,2924,male
1997,CAN,2911,male
1998,CAN,2954,male
1999,CAN,3031,male
2000,CAN,3129,male
2001,CAN,3226,male
2002,CAN,3286,male
2003,CAN,3343,male
2004,CAN,3414,male
2005,CAN,3519,male
2006,CAN,3638,male
2007,CAN,3753,male
2008,CAN,3912,male
2009,CAN,3999,male
2010,CAN,4077,male
2011,CAN,4142,male
1995,CZE,1867,female
1996,CZE,1923,female
1997,CZE,2015,female
1998,CZE,2048,female
1999,CZE,2109,female
2000,CZE,2172,female
2001,CZE,2250,female
2002,CZE,2318,female
2003,CZE,2379,female
2004,CZE,2460,female
2005,CZE,18221,female
2006,CZE,19305,female
2007,CZE,20683,female
2008,CZE,21938,female
2009,CZE,22413,female
2010,CZE,22666,female
2011,CZE,22389,female
1995,CZE,2846,male
1996,CZE,2924,male
1997,CZE,2911,male
1998,CZE,2954,male
1999,CZE,3031,male
2000,CZE,3129,male
2001,CZE,3226,male
2002,CZE,3286,male
2003,CZE,3343,male
2004,CZE,3414,male
2005,CZE,24271,male
2006,CZE,25593,male
2007,CZE,27488,male
2008,CZE,29628,male
2009,CZE,29952,male
2010,CZE,30192,male
2011,CZE,28233,male
1995,ECU,150,female
1996,ECU,161,female
1997,ECU,192,female
1998,ECU,158,female
1999,ECU,105,female
2000,ECU,107,female
2001,ECU,143,female
2002,ECU,214,female
2003,ECU,236,female
2004,ECU,303,female
2005,ECU,279,female
2006,ECU,300,female
2007,ECU,327,female
2008,ECU,348,female
2009,ECU,367,female
2010,ECU,416,female
2011,ECU,460,female
1995,ECU,197,male
1996,ECU,205,male
1997,ECU,232,male
1998,ECU,204,male
1999,ECU,127,male
2000,ECU,130,male
2001,ECU,189,male
2002,ECU,269,male
2003,ECU,273,male
2004,ECU,337,male
2005,ECU,330,male
2006,ECU,333,male
2007,ECU,384,male
2008,ECU,402,male
2009,ECU,421,male
2010,ECU,456,male
2011,ECU,488,male
1995,DEU,1858,female
1996,DEU,1933,female
1997,DEU,1985,female
1998,DEU,2039,female
1999,DEU,2105,female
2000,DEU,2150,female
2001,DEU,2216,female
2002,DEU,2286,female
2003,DEU,2359,female
2004,DEU,2421,female
2005,DEU,2475,female
2006,DEU,2522,female
2007,DEU,2590,female
2008,DEU,2661,female
2009,DEU,2729,female
2010,DEU,2791,female
2011,DEU,2861,female
1995,DEU,2470,male
1996,DEU,2539,male
1997,DEU,2580,male
1998,DEU,2639,male
1999,DEU,2713,male
2000,DEU,2732,male
2001,DEU,2800,male
2002,DEU,2889,male
2003,DEU,2972,male
2004,DEU,3034,male
2005,DEU,3088,male
2006,DEU,3138,male
2007,DEU,3211,male
2008,DEU,3294,male
2009,DEU,3320,male
2010,DEU,3416,male
2011,DEU,3508,male
1995,GTM,1858,female
1996,GTM,1933,female
1997,GTM,1985,female
1998,GTM,2039,female
1999,GTM,2105,female
2000,GTM,2150,female
2001,GTM,2216,female
2002,GTM,2286,female
2003,GTM,2359,female
2004,GTM,2421,female
2005,GTM,2475,female
2006,GTM,2522,female
2007,GTM,2590,female
2008,GTM,2661,female
2009,GTM,2729,female
2010,GTM,2791,female
2011,GTM,1707,female
1995,GTM,2470,male
1996,GTM,2539,male
1997,GTM,2580,male
1998,GTM,2639,male
1999,GTM,2713,male
2000,GTM,2732,male
2001,GTM,2800,male
2002,GTM,2889,male
2003,GTM,2972,male
2004,GTM,3034,male
2005,GTM,3088,male
2006,GTM,3138,male
2007,GTM,3211,male
2008,GTM,3294,male
2009,GTM,3320,male
2010,GTM,3416,male
2011,GTM,2086,male
1995,ISL,1858,female
1996,ISL,1933,female
1997,ISL,1985,female
1998,ISL,107000,female
1999,ISL,117000,female
2000,ISL,129000,female
2001,ISL,144000,female
2002,ISL,157000,female
2003,ISL,167000,female
2004,ISL,177000,female
2005,ISL,203000,female
2006,ISL,226000,female
2007,ISL,256000,female
2008,ISL,279000,female
2009,ISL,293000,female
2010,ISL,309000,female
2011,ISL,321000,female
1995,ISL,2470,male
1996,ISL,2539,male
1997,ISL,2580,male
1998,ISL,157000,male
1999,ISL,170000,male
2000,ISL,191000,male
2001,ISL,211000,male
2002,ISL,221000,male
2003,ISL,234000,male
2004,ISL,245000,male
2005,ISL,278000,male
2006,ISL,301000,male
2007,ISL,332000,male
2008,ISL,352000,male
2009,ISL,360000,male
2010,ISL,374000,male
2011,ISL,393000,male
1995,LVA,1858,female
1996,LVA,1933,female
1997,LVA,1985,female
1998,LVA,107000,female
1999,LVA,117000,female
2000,LVA,129000,female
2001,LVA,144000,female
2002,LVA,157000,female
2003,LVA,167000,female
2004,LVA,200,female
2005,LVA,204,female
2006,LVA,244,female
2007,LVA,323,female
2008,LVA,417,female
2009,LVA,432,female
2010,LVA,391,female
2011,LVA,412,female
1995,LVA,2470,male
1996,LVA,2539,male
1997,LVA,2580,male
1998,LVA,157000,male
1999,LVA,170000,male
2000,LVA,191000,male
2001,LVA,211000,male
2002,LVA,221000,male
2003,LVA,234000,male
2004,LVA,235,male
2005,LVA,249,male
2006,LVA,296,male
2007,LVA,385,male
2008,LVA,492,male
2009,LVA,515,male
2010,LVA,480,male
2011,LVA,494,male
1995,LUX,2197,female
1996,LUX,2709,female
1997,LUX,2280,female
1998,LUX,2338,female
1999,LUX,2427,female
2000,LUX,2544,female
2001,LUX,2692,female
2002,LUX,2710,female
2003,LUX,2794,female
2004,LUX,2872,female
2005,LUX,2990,female
2006,LUX,3111,female
2007,LUX,3259,female
2008,LUX,3384,female
2009,LUX,3482,female
2010,LUX,3563,female
2011,LUX,3656,female
1995,LUX,2762,male
1996,LUX,2809,male
1997,LUX,2865,male
1998,LUX,2928,male
1999,LUX,3025,male
2000,LUX,3143,male
2001,LUX,3319,male
2002,LUX,3385,male
2003,LUX,3483,male
2004,LUX,3565,male
2005,LUX,3699,male
2006,LUX,3826,male
2007,LUX,3961,male
2008,LUX,4114,male
2009,LUX,4203,male
2010,LUX,4316,male
2011,LUX,4212,male
1995,MEX,1166,female
1996,MEX,1469,female
1997,MEX,1759,female
1998,MEX,2120,female
1999,MEX,2444,female
2000,MEX,3057,female
2001,MEX,3407,female
2002,MEX,3670,female
2003,MEX,3949,female
2004,MEX,4134,female
2005,MEX,4310,female
2006,MEX,4573,female
2007,MEX,4790,female
2008,MEX,4821,female
2009,MEX,5101,female
2010,MEX,5067,female
2011,MEX,5142,female
1995,MEX,1557,male
1996,MEX,1840,male
1997,MEX,2273,male
1998,MEX,2689,male
1999,MEX,3166,male
2000,MEX,3936,male
2001,MEX,4410,male
2002,MEX,4657,male
2003,MEX,4921,male
2004,MEX,5162,male
2005,MEX,5330,male
2006,MEX,5654,male
2007,MEX,6071,male
2008,MEX,6188,male
2009,MEX,6186,male
2010,MEX,6243,male
2011,MEX,6191,male
1995,MNG,1166,female
1996,MNG,1469,female
1997,MNG,1759,female
1998,MNG,2120,female
1999,MNG,2444,female
2000,MNG,59800,female
2001,MNG,61000,female
2002,MNG,67300,female
2003,MNG,76000,female
2004,MNG,88000,female
2005,MNG,92300,female
2006,MNG,117325,female
2007,MNG,159325,female
2008,MNG,258075,female
2009,MNG,279875,female
2010,MNG,314550,female
2011,MNG,381325,female
1995,MNG,1557,male
1996,MNG,1840,male
1997,MNG,2273,male
1998,MNG,2689,male
1999,MNG,3166,male
2000,MNG,64700,male
2001,MNG,69200,male
2002,MNG,75800,male
2003,MNG,86900,male
2004,MNG,98300,male
2005,MNG,110000,male
2006,MNG,138125,male
2007,MNG,186700,male
2008,MNG,291250,male
2009,MNG,322575,male
2010,MNG,370375,male
2011,MNG,470000,male
1995,NZL,1166,female
1996,NZL,1469,female
1997,NZL,1759,female
1998,NZL,1870,female
1999,NZL,1937,female
2000,NZL,2015,female
2001,NZL,2094,female
2002,NZL,2154,female
2003,NZL,2267,female
2004,NZL,2336,female
2005,NZL,2425,female
2006,NZL,2588,female
2007,NZL,2739,female
2008,NZL,2884,female
2009,NZL,2979,female
2010,NZL,3120,female
2011,NZL,3180,female
1995,NZL,1557,male
1996,NZL,1840,male
1997,NZL,2273,male
1998,NZL,2951,male
1999,NZL,2980,male
2000,NZL,3015,male
2001,NZL,3167,male
2002,NZL,3198,male
2003,NZL,3383,male
2004,NZL,3484,male
2005,NZL,3759,male
2006,NZL,3785,male
2007,NZL,4104,male
2008,NZL,4244,male
2009,NZL,4298,male
2010,NZL,4461,male
2011,NZL,4582,male
1995,NOR,1166,female
1996,NOR,1469,female
1997,NOR,18085,female
1998,NOR,19418,female
1999,NOR,20191,female
2000,NOR,21213,female
2001,NOR,22165,female
2002,NOR,23736,female
2003,NOR,24609,female
2004,NOR,25579,female
2005,NOR,26430,female
2006,NOR,27653,female
2007,NOR,29137,female
2008,NOR,30800,female
2009,NOR,32000,female
2010,NOR,33400,female
2011,NOR,34800,female
1995,NOR,1557,male
1996,NOR,1840,male
1997,NOR,21606,male
1998,NOR,23227,male
1999,NOR,24200,male
2000,NOR,25408,male
2001,NOR,26600,male
2002,NOR,28279,male
2003,NOR,29205,male
2004,NOR,30217,male
2005,NOR,31201,male
2006,NOR,32672,male
2007,NOR,34570,male
2008,NOR,36700,male
2009,NOR,37800,male
2010,NOR,39300,male
2011,NOR,40800,male
1995,PAK,1838,female
1996,PAK,1469,female
1997,PAK,1879,female
1998,PAK,2045,female
1999,PAK,20191,female
2000,PAK,2014,female
2001,PAK,22165,female
2002,PAK,2029,female
2003,PAK,24609,female
2004,PAK,2593,female
2005,PAK,26430,female
2006,PAK,3348,female
2007,PAK,3567,female
2008,PAK,3852,female
2009,PAK,5188,female
2010,PAK,5821,female
2011,PAK,6422,female
1995,PAK,2375,male
1996,PAK,1840,male
1997,PAK,3140,male
1998,PAK,3162,male
1999,PAK,24200,male
2000,PAK,3327,male
2001,PAK,26600,male
2002,PAK,3653,male
2003,PAK,29205,male
2004,PAK,4329,male
2005,PAK,31201,male
2006,PAK,5248,male
2007,PAK,6100,male
2008,PAK,7009,male
2009,PAK,7997,male
2010,PAK,9017,male
2011,PAK,10211,male
1995,PHL,1838,female
1996,PHL,1469,female
1997,PHL,1879,female
1998,PHL,2045,female
1999,PHL,20191,female
2000,PHL,2014,female
2001,PHL,5934,female
2002,PHL,6028,female
2003,PHL,6065,female
2004,PHL,6196,female
2005,PHL,6383,female
2006,PHL,6719,female
2007,PHL,6871,female
2008,PHL,7266,female
2009,PHL,7587,female
2010,PHL,8068,female
2011,PHL,8439,female
1995,PHL,2375,male
1996,PHL,1840,male
1997,PHL,3140,male
1998,PHL,3162,male
1999,PHL,24200,male
2000,PHL,3327,male
2001,PHL,5713,male
2002,PHL,5826,male
2003,PHL,5963,male
2004,PHL,6051,male
2005,PHL,6412,male
2006,PHL,6906,male
2007,PHL,7011,male
2008,PHL,7282,male
2009,PHL,7581,male
2010,PHL,7947,male
2011,PHL,8175,male
1995,QAT,1838,female
1996,QAT,1469,female
1997,QAT,1879,female
1998,QAT,2045,female
1999,QAT,20191,female
2000,QAT,2014,female
2001,QAT,5934,female
2002,QAT,6028,female
2003,QAT,6065,female
2004,QAT,6196,female
2005,QAT,6383,female
2006,QAT,4131,female
2007,QAT,4939,female
2008,QAT,5800,female
2009,QAT,6106,female
2010,QAT,8068,female
2011,QAT,6094,female
1995,QAT,2375,male
