year,value,gender,country
1995,1867.23,female,Australia
1996,1923.89,female,Australia
1997,1996.15,female,Australia
1998,2043.6,female,Australia
1999,2081.95,female,Australia
2000,2187.25,female,Australia
2001,2286.27,female,Australia
2002,2347.15,female,Australia
2003,2450.61,female,Australia
2004,2552.77,female,Australia
2005,2680.17,female,Australia
2006,2790.67,female,Australia
2007,2931.82,female,Australia
2008,3047.2,female,Australia
2009,3181.43,female,Australia
2010,3341.43,female,Australia
2011,3473.27,female,Australia
1995,2846.68,male,Australia
1996,2924.68,male,Australia
1997,3013.51,male,Australia
1998,3116.64,male,Australia
1999,3172.43,male,Australia
2000,3299.18,male,Australia
2001,3439.15,male,Australia
2002,3598.51,male,Australia
2003,3790.26,male,Australia
2004,3893.07,male,Australia
2005,4102.37,male,Australia
2006,4289.13,male,Australia
2007,4502.88,male,Australia
2008,4689.64,male,Australia
2009,4903.38,male,Australia
2010,5152.77,male,Australia
2011,5373.88,male,Australia
1995,1867.23,female,Canada
1996,1923.89,female,Canada
1997,2015.22,female,Canada
1998,2048.76,female,Canada
1999,2109.29,female,Canada
2000,2172.0,female,Canada
2001,2250.69,female,Canada
2002,2318.59,female,Canada
2003,2379.65,female,Canada
2004,2460.55,female,Canada
2005,2556.15,female,Canada
2006,2649.49,female,Canada
2007,2743.74,female,Canada
2008,2857.75,female,Canada
2009,2972.71,female,Canada
2010,3036.41,female,Canada
2011,3131.96,female,Canada
1995,2846.68,male,Canada
1996,2924.68,male,Canada
1997,2911.91,male,Canada
1998,2954.55,male,Canada
1999,3031.47,male,Canada
2000,3129.79,male,Canada
2001,3226.38,male,Canada
2002,3286.57,male,Canada
2003,3343.82,male,Canada
2004,3414.06,male,Canada
2005,3519.75,male,Canada
2006,3638.83,male,Canada
2007,3753.45,male,Canada
2008,3912.91,male,Canada
2009,3999.8,male,Canada
2010,4077.41,male,Canada
2011,4142.1,male,Canada
1995,1867.23,female,Czech Republic
1996,1923.89,female,Czech Republic
1997,2015.22,female,Czech Republic
1998,2048.76,female,Czech Republic
1999,2109.29,female,Czech Republic
2000,2172.0,female,Czech Republic
2001,2250.69,female,Czech Republic
2002,2318.59,female,Czech Republic
2003,2379.65,female,Czech Republic
2004,2460.55,female,Czech Republic
2005,18221.0,female,Czech Republic
2006,19305.2,female,Czech Republic
2007,20683.6,female,Czech Republic
2008,21938.9,female,Czech Republic
2009,22413.9,female,Czech Republic
2010,22666.4,female,Czech Republic
2011,22389.0,female,Czech Republic
1995,2846.68,male,Czech Republic
1996,2924.68,male,Czech Republic
1997,2911.91,male,Czech Republic
1998,2954.55,male,Czech Republic
1999,3031.47,male,Czech Republic
2000,3129.79,male,Czech Republic
2001,3226.38,male,Czech Republic
2002,3286.57,male,Czech Republic
2003,3343.82,male,Czech Republic
2004,3414.06,male,Czech Republic
2005,24271.1,male,Czech Republic
2006,25593.1,male,Czech Republic
2007,27488.8,male,Czech Republic
2008,29628.5,male,Czech Republic
2009,29952.6,male,Czech Republic
2010,30192.1,male,Czech Republic
2011,28233.6,male,Czech Republic
1995,150.97,female,Ecuador
1996,161.673,female,Ecuador
1997,192.329,female,Ecuador
1998,158.344,female,Ecuador
1999,105.445,female,Ecuador
2000,107.72,female,Ecuador
2001,143.69,female,Ecuador
2002,214.04,female,Ecuador
2003,236.35,female,Ecuador
2004,303.73,female,Ecuador
2005,279.17,female,Ecuador
2006,300.14,female,Ecuador
2007,327.31,female,Ecuador
2008,348.84,female,Ecuador
2009,367.23,female,Ecuador
2010,416.51,female,Ecuador
2011,460.38,female,Ecuador
1995,197.029,male,Ecuador
1996,205.081,male,Ecuador
1997,232.19,male,Ecuador
1998,204.359,male,Ecuador
1999,127.807,male,Ecuador
2000,130.45,male,Ecuador
2001,189.25,male,Ecuador
2002,269.68,male,Ecuador
2003,273.84,male,Ecuador
2004,337.74,male,Ecuador
2005,330.92,male,Ecuador
2006,333.9,male,Ecuador
2007,384.22,male,Ecuador
2008,402.69,male,Ecuador
2009,421.06,male,Ecuador
2010,456.17,male,Ecuador
2011,488.69,male,Ecuador
1995,1858.0,female,Germany
1996,1933.0,female,Germany
1997,1985.0,female,Germany
1998,2039.0,female,Germany
1999,2105.0,female,Germany
2000,2150.0,female,Germany
2001,2216.0,female,Germany
2002,2286.0,female,Germany
2003,2359.0,female,Germany
2004,2421.0,female,Germany
2005,2475.0,female,Germany
2006,2522.0,female,Germany
2007,2590.0,female,Germany
2008,2661.0,female,Germany
2009,2729.0,female,Germany
2010,2791.0,female,Germany
2011,2861.0,female,Germany
1995,2470.0,male,Germany
1996,2539.0,male,Germany
1997,2580.0,male,Germany
1998,2639.0,male,Germany
1999,2713.0,male,Germany
2000,2732.0,male,Germany
2001,2800.0,male,Germany
2002,2889.0,male,Germany
2003,2972.0,male,Germany
2004,3034.0,male,Germany
2005,3088.0,male,Germany
2006,3138.0,male,Germany
2007,3211.0,male,Germany
2008,3294.0,male,Germany
2009,3320.0,male,Germany
2010,3416.0,male,Germany
2011,3508.0,male,Germany
1995,1858.0,female,Guatemala
1996,1933.0,female,Guatemala
