year,w_m_ratio
1995,0.7143182854537163
1996,0.7376146788990826
1997,0.7416685305300827
1998,0.7317494600431965
1999,0.7232219365895458
2000,0.7371267849415837
2001,0.763266190166775
2002,0.7661255873558308
2003,0.7556120288013554
2004,0.7656622588337307
2005,0.7697746354396818
2006,0.7692651329014966
2007,0.7781364321067356
2008,0.7710371819960861
2009,0.7697719036452781
2010,0.7691652470187393
2011,0.7701048951048951
2012,0.7650261324041812
2013,0.7791598565209726
2014,0.7862965410883455
2015,0.795656894679696
2016,0.8045801526717558
2017,0.8107632808280058
2018,0.8156043487529312
2019,0.8233082706766918
1995,0.7859742378850468
1996,0.7913188264991113
1997,0.7846563653258536
1998,0.7843704668883665
1999,0.7836130955182001
2000,0.7898345766222425
2001,0.7810655952273299
2002,0.7831428586202591
2003,0.7861167095923873
2004,0.7917252303400927
2005,0.7895224989564844
2006,0.795150396842705
2007,0.7925580363613685
2008,0.7931349194386415
2009,0.8052918302939225
2010,0.80721792727923
2011,0.810157576618304
