year,w_m_ratio,ISO,country
1995,0.7281613724539282,ARG,Argentina
1996,0.7281613724539282,ARG,Argentina
1997,0.7463032985950997,ARG,Argentina
1998,0.7327989408090722,ARG,Argentina
1999,0.7601398706799101,ARG,Argentina
2000,0.7449766991466441,ARG,Argentina
2001,0.7467957713537281,ARG,Argentina
2002,0.6913232033389852,ARG,Argentina
2003,0.6827170855973259,ARG,Argentina
2004,0.6759614220572213,ARG,Argentina
2005,0.6924460242509649,ARG,Argentina
2006,0.7163761640004093,ARG,Argentina
2007,0.6816132231404959,ARG,Argentina
2008,0.7173642503855767,ARG,Argentina
2009,0.7692846707305345,ARG,Argentina
2010,0.7678441220304257,ARG,Argentina
2011,0.7678441220304257,ARG,Argentina
1995,0.5190358805806629,ARM,Armenia
1996,0.5190358805806629,ARM,Armenia
1997,0.5190358805806629,ARM,Armenia
1998,0.5190358805806629,ARM,Armenia
1999,0.5190358805806629,ARM,Armenia
2000,0.5190358805806629,ARM,Armenia
2001,0.4577695233041479,ARM,Armenia
2002,0.40685612274437905,ARM,Armenia
2003,0.42122373622845216,ARM,Armenia
2004,0.5344214013989447,ARM,Armenia
2005,0.5751195306254807,ARM,Armenia
2006,0.5922572741194487,ARM,Armenia
2007,0.600204541228487,ARM,Armenia
2008,0.5823422127462817,ARM,Armenia
2009,0.6084250384569874,ARM,Armenia
2010,0.640597321192398,ARM,Armenia
2011,0.640597321192398,ARM,Armenia
1995,0.6559325249062066,AUS,Australia
1996,0.6578121367123926,AUS,Australia
1997,0.6624003238748171,AUS,Australia
1998,0.6557061450793162,AUS,Australia
1999,0.6562634951756224,AUS,Australia
2000,0.6629677677483496,AUS,Australia
2001,0.6647776340084032,AUS,Australia
2002,0.6522560726522921,AUS,Australia
2003,0.6465545899225911,AUS,Australia
2004,0.6557215770587222,AUS,Australia
2005,0.653322347813581,AUS,Australia
2006,0.6506377750266371,AUS,Australia
2007,0.6510988522900899,AUS,Australia
2008,0.6497726904410572,AUS,Australia
2009,0.6488238725124301,AUS,Australia
2010,0.6484725691230153,AUS,Australia
2011,0.6463244434189077,AUS,Australia
1995,0.5996915367040387,AUT,Austria
1996,0.5996915367040387,AUT,Austria
1997,0.5996915367040387,AUT,Austria
1998,0.5913578548147129,AUT,Austria
1999,0.592954470763708,AUT,Austria
2000,0.587069219681583,AUT,Austria
2001,0.5952356709688719,AUT,Austria
2002,0.6009728643216081,AUT,Austria
2003,0.6026466706563568,AUT,Austria
2004,0.6023825710512538,AUT,Austria
2005,0.6047547950802458,AUT,Austria
2006,0.6026055021466205,AUT,Austria
2007,0.5986781558141601,AUT,Austria
2008,0.5997647399721275,AUT,Austria
2009,0.6130720976196614,AUT,Austria
2010,0.6171826620090802,AUT,Austria
2011,0.6171826620090802,AUT,Austria
1995,0.4444444444444444,AZE,Azerbaijan
1996,0.4444444444444444,AZE,Azerbaijan
1997,0.4444444444444444,AZE,Azerbaijan
1998,0.4444444444444444,AZE,Azerbaijan
1999,0.4444444444444444,AZE,Azerbaijan
2000,0.4576271186440678,AZE,Azerbaijan
2001,0.4166666666666667,AZE,Azerbaijan
2002,0.42857142857142855,AZE,Azerbaijan
2003,0.44660194174757284,AZE,Azerbaijan
2004,0.44274809160305345,AZE,Azerbaijan
2005,0.46296296296296297,AZE,Azerbaijan
2006,0.4739583333333333,AZE,Azerbaijan
2007,0.5054151624548736,AZE,Azerbaijan
2008,0.5683918669131238,AZE,Azerbaijan
2009,0.5683918669131238,AZE,Azerbaijan
2010,0.5484027105517909,AZE,Azerbaijan
2011,0.5484027105517909,AZE,Azerbaijan
1995,1.0355029585798816,BHR,Bahrain
1996,1.0355029585798816,BHR,Bahrain
1997,1.0355029585798816,BHR,Bahrain
1998,1.0355029585798816,BHR,Bahrain
1999,1.0355029585798816,BHR,Bahrain
2000,1.0355029585798816,BHR,Bahrain
2001,1.0355029585798816,BHR,Bahrain
2002,1.0355029585798816,BHR,Bahrain
2003,1.1637596899224807,BHR,Bahrain
2004,1.185475956820412,BHR,Bahrain
2005,1.2134268537074149,BHR,Bahrain
2006,1.185370741482966,BHR,Bahrain
2007,1.2619270346117868,BHR,Bahrain
2008,1.237851662404092,BHR,Bahrain
2009,1.1461342395921834,BHR,Bahrain
2010,1.1760450160771705,BHR,Bahrain
2011,1.1760450160771705,BHR,Bahrain
1995,0.7905225544766554,BLR,Belarus
1996,0.8597356995421006,BLR,Belarus
1997,0.8083352668854342,BLR,Belarus
1998,0.8487792464932095,BLR,Belarus
1999,0.8056677745863464,BLR,Belarus
2000,0.8096457928253243,BLR,Belarus
2001,0.8268602899952731,BLR,Belarus
2002,0.8089132840727841,BLR,Belarus
2003,0.7944237628977041,BLR,Belarus
2004,0.8114590997257709,BLR,Belarus
2005,0.791408816594061,BLR,Belarus
2006,0.7987141444114738,BLR,Belarus
2007,0.7837862836864553,BLR,Belarus
2008,0.738859363292617,BLR,Belarus
2009,0.7455761524257989,BLR,Belarus
2010,0.7662033291110281,BLR,Belarus
2011,0.7662033291110281,BLR,Belarus
1995,0.7179150240911082,BEL,Belgium
1996,0.7179150240911082,BEL,Belgium
1997,0.7179150240911082,BEL,Belgium
1998,0.7179150240911082,BEL,Belgium
1999,0.7179150240911082,BEL,Belgium
2000,0.7352437981180496,BEL,Belgium
2001,0.7401639344262295,BEL,Belgium
2002,0.7449228269699432,BEL,Belgium
2003,0.7453703703703703,BEL,Belgium
2004,0.748225625700411,BEL,Belgium
2005,0.7533088235294118,BEL,Belgium
2006,0.7641509433962265,BEL,Belgium
2007,0.7653611210923464,BEL,Belgium
2008,0.7707115847370231,BEL,Belgium
2009,0.7812604201400467,BEL,Belgium
2010,0.7812604201400467,BEL,Belgium
2011,0.7812604201400467,BEL,Belgium
1995,0.8910303928836175,BWA,Botswana
1996,0.8910303928836175,BWA,Botswana
1997,0.8910303928836175,BWA,Botswana
1998,0.8910303928836175,BWA,Botswana
1999,0.8910303928836175,BWA,Botswana
2000,0.8910303928836175,BWA,Botswana
2001,0.8910303928836175,BWA,Botswana
2002,0.8910303928836175,BWA,Botswana
2003,0.8910303928836175,BWA,Botswana
2004,0.8910303928836175,BWA,Botswana
2005,0.8910303928836175,BWA,Botswana
2006,0.8910303928836175,BWA,Botswana
2007,0.8910303928836175,BWA,Botswana
2008,0.8910303928836175,BWA,Botswana
2009,0.8483994362794444,BWA,Botswana
2010,0.8333333333333334,BWA,Botswana
2011,0.8333333333333334,BWA,Botswana
1995,0.6385549858519669,BRA,Brazil
1996,0.6762335777574091,BRA,Brazil
1997,0.68286227088961,BRA,Brazil
1998,0.6804413412636842,BRA,Brazil
1999,0.6979141147236901,BRA,Brazil
2000,0.6979141147236901,BRA,Brazil
2001,0.7068807917796129,BRA,Brazil
2002,0.7116596870178532,BRA,Brazil
2003,0.720264976331683,BRA,Brazil
2004,0.7226648931408034,BRA,Brazil
2005,0.7257886352801647,BRA,Brazil
2006,0.7287776974439671,BRA,Brazil
2007,0.726091638926963,BRA,Brazil
2008,0.7286711770710074,BRA,Brazil
2009,0.7230152205864037,BRA,Brazil
2010,0.7230152205864037,BRA,Brazil
2011,0.7230152205864037,BRA,Brazil
1995,0.755201242134255,BGR,Bulgaria
1996,0.755201242134255,BGR,Bulgaria
1997,0.755201242134255,BGR,Bulgaria
1998,0.755201242134255,BGR,Bulgaria
1999,0.755201242134255,BGR,Bulgaria
2000,0.755201242134255,BGR,Bulgaria
2001,0.7669724770642202,BGR,Bulgaria
2002,0.7842350008803213,BGR,Bulgaria
2003,0.8118995449182538,BGR,Bulgaria
2004,0.8236963197341771,BGR,Bulgaria
2005,0.8226318438314493,BGR,Bulgaria
2006,0.8327325272270741,BGR,Bulgaria
2007,0.833718126642833,BGR,Bulgaria
2008,0.8216723921240051,BGR,Bulgaria
2009,0.8091163136380527,BGR,Bulgaria
2010,0.8071752064895318,BGR,Bulgaria
2011,0.8071752064895318,BGR,Bulgaria
1995,0.8841269672026272,KHM,Cambodia
1996,0.8841269672026272,KHM,Cambodia
1997,0.8841269672026272,KHM,Cambodia
1998,0.8841269672026272,KHM,Cambodia
1999,0.8841269672026272,KHM,Cambodia
2000,0.8841269672026272,KHM,Cambodia
2001,0.8841269672026272,KHM,Cambodia
2002,0.8841269672026272,KHM,Cambodia
2003,0.8841269672026272,KHM,Cambodia
2004,0.8841269672026272,KHM,Cambodia
2005,0.8841269672026272,KHM,Cambodia
2006,0.8841269672026272,KHM,Cambodia
2007,0.6852980989230825,KHM,Cambodia
2008,0.6852980989230825,KHM,Cambodia
2009,0.7261981100236247,KHM,Cambodia
2010,0.7261981100236247,KHM,Cambodia
2011,0.7261981100236247,KHM,Cambodia
1995,0.6920612244197109,CAN,Canada
1996,0.6920612244197109,CAN,Canada
1997,0.6920612244197109,CAN,Canada
1998,0.693425394730162,CAN,Canada
1999,0.6957977482871347,CAN,Canada
2000,0.6939762731684873,CAN,Canada
2001,0.6975898685213769,CAN,Canada
2002,0.7054740960941042,CAN,Canada
2003,0.7116561298156001,CAN,Canada
2004,0.7207108252344716,CAN,Canada
2005,0.7262305561474537,CAN,Canada
2006,0.7281159053871711,CAN,Canada
2007,0.7309914878311953,CAN,Canada
2008,0.7303388015568976,CAN,Canada
2009,0.7432146607330367,CAN,Canada
2010,0.7446908699394958,CAN,Canada
2011,0.756128533835494,CAN,Canada
1995,0.7923159391588556,COL,Colombia
1996,0.7987818729930682,COL,Colombia
1997,0.7911761082226548,COL,Colombia
1998,0.8036015871400957,COL,Colombia
1999,0.8492154265004931,COL,Colombia
2000,0.9034630439329502,COL,Colombia
2001,0.9034630439329502,COL,Colombia
2002,0.9681041621396228,COL,Colombia
2003,0.8684221852280963,COL,Colombia
2004,0.8649796448964661,COL,Colombia
2005,0.8966813971581129,COL,Colombia
2006,0.8732103854898083,COL,Colombia
2007,0.9133637269311699,COL,Colombia
2008,0.8790074243858688,COL,Colombia
2009,0.8826006860106348,COL,Colombia
2010,0.8460363950200154,COL,Colombia
2011,0.8460363950200154,COL,Colombia
1995,0.7671793948225099,CRI,Costa Rica
1996,0.8303650876655901,CRI,Costa Rica
1997,0.8734670654619292,CRI,Costa Rica
1998,0.8074438644743228,CRI,Costa Rica
1999,0.7843043975937847,CRI,Costa Rica
2000,0.8081621140786704,CRI,Costa Rica
2001,0.8290965878809663,CRI,Costa Rica
2002,0.7834736682246933,CRI,Costa Rica
2003,0.8426137848983926,CRI,Costa Rica
2004,0.8352557233317097,CRI,Costa Rica
2005,0.8098444558178864,CRI,Costa Rica
2006,0.8392296758291301,CRI,Costa Rica
2007,0.7975530901627249,CRI,Costa Rica
2008,0.8007991153704386,CRI,Costa Rica
2009,0.8720465136513574,CRI,Costa Rica
2010,0.8656883682574589,CRI,Costa Rica
2011,0.8656883682574589,CRI,Costa Rica
1995,0.8948534423994546,HRV,Croatia
1996,0.8948534423994546,HRV,Croatia
1997,0.8948534423994546,HRV,Croatia
1998,0.8948534423994546,HRV,Croatia
1999,0.8948534423994546,HRV,Croatia
2000,0.8948534423994546,HRV,Croatia
2001,0.8948534423994546,HRV,Croatia
2002,0.8948534423994546,HRV,Croatia
2003,0.8948534423994546,HRV,Croatia
2004,0.8926844988720593,HRV,Croatia
2005,0.8943314849044979,HRV,Croatia
2006,0.8899985526125344,HRV,Croatia
2007,0.891748366013072,HRV,Croatia
2008,0.8890015205271161,HRV,Croatia
2009,0.8939375077804058,HRV,Croatia
2010,0.8991795126802585,HRV,Croatia
2011,0.8991795126802585,HRV,Croatia
1995,0.7338325391422736,CYP,Cyprus
1996,0.7338325391422736,CYP,Cyprus
1997,0.7338325391422736,CYP,Cyprus
1998,0.7338325391422736,CYP,Cyprus
1999,0.7338325391422736,CYP,Cyprus
2000,0.7410941475826972,CYP,Cyprus
2001,0.7415254237288136,CYP,Cyprus
2002,0.7489878542510121,CYP,Cyprus
2003,0.7479586281981492,CYP,Cyprus
2004,0.7489539748953975,CYP,Cyprus
2005,0.7501241927471436,CYP,Cyprus
2006,0.7566666666666667,CYP,Cyprus
2007,0.7615313653136532,CYP,Cyprus
2008,0.776356418173798,CYP,Cyprus
2009,0.7808219178082192,CYP,Cyprus
2010,0.7808219178082192,CYP,Cyprus
2011,0.7808219178082192,CYP,Cyprus
1995,0.7507282323421683,CZE,Czech Republic
1996,0.7507282323421683,CZE,Czech Republic
1997,0.7507282323421683,CZE,Czech Republic
1998,0.7507282323421683,CZE,Czech Republic
1999,0.7507282323421683,CZE,Czech Republic
2000,0.7507282323421683,CZE,Czech Republic
2001,0.7507282323421683,CZE,Czech Republic
2002,0.7507282323421683,CZE,Czech Republic
2003,0.7507282323421683,CZE,Czech Republic
2004,0.7507282323421683,CZE,Czech Republic
2005,0.7507282323421683,CZE,Czech Republic
2006,0.7543126858411057,CZE,Czech Republic
2007,0.7524373563051133,CZE,Czech Republic
2008,0.7404661052702635,CZE,Czech Republic
2009,0.7483123334869094,CZE,Czech Republic
2010,0.75073943183813,CZE,Czech Republic
2011,0.7929913294797688,CZE,Czech Republic
1995,0.6288944928007809,COD,"Congo, Dem. Rep."
1996,0.6288944928007809,COD,"Congo, Dem. Rep."
1997,0.6288944928007809,COD,"Congo, Dem. Rep."
1998,0.6288944928007809,COD,"Congo, Dem. Rep."
1999,0.6288944928007809,COD,"Congo, Dem. Rep."
2000,0.6288944928007809,COD,"Congo, Dem. Rep."
2001,0.6288944928007809,COD,"Congo, Dem. Rep."
2002,0.6288944928007809,COD,"Congo, Dem. Rep."
2003,0.6288944928007809,COD,"Congo, Dem. Rep."
2004,0.6288944928007809,COD,"Congo, Dem. Rep."
2005,0.6288944928007809,COD,"Congo, Dem. Rep."
